Año,Trimestre,Provincia,Mbps (Media de bajada),Incremento_Velocidad,Trimestre_Label
1970,1,MISIONES,22,0.0,Q1
1970,1,NEUQUÉN,27,-2.0,Q1
1970,1,RÍO NEGRO,19,0.0,Q1
1970,1,SALTA,21,-1.0,Q1
1970,1,SAN JUAN,6,0.0,Q1
1970,1,SAN LUIS,20,-1.0,Q1
1970,1,SANTA CRUZ,6,0.0,Q1
1970,1,SANTA FE,22,-1.0,Q1
1970,1,SANTIAGO DEL ESTERO,10,0.0,Q1
1970,1,TIERRA DEL FUEGO,7,-1.0,Q1
1970,1,TUCUMÁN,32,0.0,Q1
1970,4,BUENOS AIRES,30,-15.0,Q4
1970,4,CABA,44,-14.0,Q4
1970,4,CATAMARCA,24,-5.0,Q4
1970,4,CHACO,23,-2.0,Q4
1970,4,CHUBUT,6,-1.0,Q4
1970,4,CÓRDOBA,26,-3.0,Q4
1970,4,CORRIENTES,19,-1.0,Q4
1970,4,ENTRE RÍOS,17,-2.0,Q4
1970,4,FORMOSA,14,-1.0,Q4
1970,4,JUJUY,12,-2.0,Q4
1970,4,LA PAMPA,6,-1.0,Q4
1970,4,LA RIOJA,8,1.0,Q4
1970,4,MENDOZA,7,-1.0,Q4
1970,4,MISIONES,20,-2.0,Q4
1970,4,NEUQUÉN,26,-1.0,Q4
1970,4,RÍO NEGRO,17,-2.0,Q4
1970,4,SALTA,19,-2.0,Q4
1970,4,SAN JUAN,6,0.0,Q4
1970,4,SAN LUIS,20,0.0,Q4
1970,4,SANTA CRUZ,5,-1.0,Q4
1970,4,SANTA FE,20,-2.0,Q4
1970,4,SANTIAGO DEL ESTERO,9,-1.0,Q4
1970,4,TIERRA DEL FUEGO,7,0.0,Q4
1970,4,TUCUMÁN,29,-3.0,Q4
1970,3,BUENOS AIRES,25,-5.0,Q3
1970,3,CABA,38,-6.0,Q3
1970,3,CATAMARCA,9,-15.0,Q3
1970,3,CHACO,19,-4.0,Q3
1970,3,CHUBUT,6,0.0,Q3
1970,3,CÓRDOBA,23,-3.0,Q3
1970,3,CORRIENTES,16,-3.0,Q3
1970,3,ENTRE RÍOS,14,-3.0,Q3
1970,3,FORMOSA,13,-1.0,Q3
1970,3,JUJUY,11,-1.0,Q3
1970,3,LA PAMPA,5,-1.0,Q3
1970,3,LA RIOJA,8,0.0,Q3
1970,3,MENDOZA,6,-1.0,Q3
1970,3,MISIONES,17,-3.0,Q3
1970,3,NEUQUÉN,23,-3.0,Q3
1970,3,RÍO NEGRO,15,-2.0,Q3
1970,3,SALTA,14,-5.0,Q3
1970,3,SAN JUAN,6,0.0,Q3
1970,3,SAN LUIS,19,-1.0,Q3
1970,3,SANTA CRUZ,5,0.0,Q3
1970,3,SANTA FE,18,-2.0,Q3
1970,3,SANTIAGO DEL ESTERO,9,0.0,Q3
1970,3,TIERRA DEL FUEGO,6,-1.0,Q3
1970,3,TUCUMÁN,19,-10.0,Q3
1970,2,BUENOS AIRES,22,-3.0,Q2
1970,2,CABA,30,-8.0,Q2
1970,2,CATAMARCA,8,-1.0,Q2
1970,2,CHACO,16,-3.0,Q2
1970,2,CHUBUT,6,0.0,Q2
1970,2,CÓRDOBA,18,-5.0,Q2
1970,2,CORRIENTES,13,-3.0,Q2
1970,2,ENTRE RÍOS,12,-2.0,Q2
1970,2,FORMOSA,10,-3.0,Q2
1970,2,JUJUY,12,1.0,Q2
1970,2,LA PAMPA,5,0.0,Q2
1970,2,LA RIOJA,7,-1.0,Q2
1970,2,MENDOZA,6,0.0,Q2
1970,2,MISIONES,14,-3.0,Q2
1970,2,NEUQUÉN,17,-6.0,Q2
1970,2,RÍO NEGRO,11,-4.0,Q2
1970,2,SALTA,12,-2.0,Q2
1970,2,SAN JUAN,6,0.0,Q2
1970,2,SAN LUIS,19,0.0,Q2
1970,2,SANTA CRUZ,6,1.0,Q2
1970,2,SANTA FE,15,-3.0,Q2
1970,2,SANTIAGO DEL ESTERO,7,-2.0,Q2
1970,2,TIERRA DEL FUEGO,6,0.0,Q2
1970,2,TUCUMÁN,18,-1.0,Q2
1970,1,BUENOS AIRES,19,-3.0,Q1
1970,1,CABA,24,-6.0,Q1
1970,1,CATAMARCA,7,-1.0,Q1
1970,1,CHACO,13,-3.0,Q1
1970,1,CHUBUT,5,-1.0,Q1
1970,1,CÓRDOBA,15,-3.0,Q1
1970,1,CORRIENTES,12,-1.0,Q1
1970,1,ENTRE RÍOS,10,-2.0,Q1
1970,1,FORMOSA,9,-1.0,Q1
1970,1,JUJUY,8,-4.0,Q1
1970,1,LA PAMPA,5,0.0,Q1
1970,1,LA RIOJA,7,0.0,Q1
1970,1,MENDOZA,5,-1.0,Q1
1970,1,MISIONES,12,-2.0,Q1
1970,1,NEUQUÉN,15,-2.0,Q1
1970,1,RÍO NEGRO,10,-1.0,Q1
1970,1,SALTA,10,-2.0,Q1
1970,1,SAN JUAN,5,-1.0,Q1
1970,1,SAN LUIS,8,-11.0,Q1
1970,1,SANTA CRUZ,5,-1.0,Q1
1970,1,SANTA FE,12,-3.0,Q1
1970,1,SANTIAGO DEL ESTERO,6,-1.0,Q1
1970,1,TIERRA DEL FUEGO,6,0.0,Q1
1970,1,TUCUMÁN,16,-2.0,Q1
1970,4,BUENOS AIRES,16,-3.0,Q4
1970,4,CABA,22,-2.0,Q4
1970,4,CATAMARCA,8,1.0,Q4
1970,4,CHACO,13,0.0,Q4
1970,4,CHUBUT,6,1.0,Q4
1970,4,CÓRDOBA,15,0.0,Q4
1970,4,CORRIENTES,12,0.0,Q4
1970,4,ENTRE RÍOS,11,1.0,Q4
1970,4,FORMOSA,9,0.0,Q4
1970,4,JUJUY,8,0.0,Q4
1970,4,LA PAMPA,4,-1.0,Q4
1970,4,LA RIOJA,7,0.0,Q4
1970,4,MENDOZA,5,0.0,Q4
1970,4,MISIONES,12,0.0,Q4
1970,4,NEUQUÉN,15,0.0,Q4
1970,4,RÍO NEGRO,10,0.0,Q4
1970,4,SALTA,10,0.0,Q4
1970,4,SAN JUAN,5,0.0,Q4
1970,4,SAN LUIS,8,0.0,Q4
1970,4,SANTA CRUZ,5,0.0,Q4
1970,4,SANTA FE,13,1.0,Q4
1970,4,SANTIAGO DEL ESTERO,6,0.0,Q4
1970,4,TIERRA DEL FUEGO,7,1.0,Q4
1970,4,TUCUMÁN,16,0.0,Q4
1970,3,BUENOS AIRES,16,0.0,Q3
1970,3,CABA,21,-1.0,Q3
1970,3,CATAMARCA,7,-1.0,Q3
1970,3,CHACO,12,-1.0,Q3
1970,3,CHUBUT,6,0.0,Q3
1970,3,CÓRDOBA,14,-1.0,Q3
1970,3,CORRIENTES,11,-1.0,Q3
1970,3,ENTRE RÍOS,10,-1.0,Q3
1970,3,FORMOSA,9,0.0,Q3
1970,3,JUJUY,7,-1.0,Q3
1970,3,LA PAMPA,4,0.0,Q3
1970,3,LA RIOJA,6,-1.0,Q3
1970,3,MENDOZA,5,0.0,Q3
1970,3,MISIONES,12,0.0,Q3
1970,3,NEUQUÉN,14,-1.0,Q3
1970,3,RÍO NEGRO,10,0.0,Q3
1970,3,SALTA,9,-1.0,Q3
1970,3,SAN JUAN,5,0.0,Q3
1970,3,SAN LUIS,8,0.0,Q3
1970,3,SANTA CRUZ,5,0.0,Q3
1970,3,SANTA FE,12,-1.0,Q3
1970,3,SANTIAGO DEL ESTERO,5,-1.0,Q3
1970,3,TIERRA DEL FUEGO,5,-2.0,Q3
1970,3,TUCUMÁN,15,-1.0,Q3
1970,2,BUENOS AIRES,14,-2.0,Q2
1970,2,CABA,18,-3.0,Q2
1970,2,CATAMARCA,7,0.0,Q2
1970,2,CHACO,12,0.0,Q2
1970,2,CHUBUT,5,-1.0,Q2
1970,2,CÓRDOBA,13,-1.0,Q2
1970,2,CORRIENTES,10,-1.0,Q2
1970,2,ENTRE RÍOS,10,0.0,Q2
1970,2,FORMOSA,8,-1.0,Q2
1970,2,JUJUY,6,-1.0,Q2
1970,2,LA PAMPA,4,0.0,Q2
1970,2,LA RIOJA,5,-1.0,Q2
1970,2,MENDOZA,5,0.0,Q2
1970,2,MISIONES,11,-1.0,Q2
1970,2,NEUQUÉN,13,-1.0,Q2
1970,2,RÍO NEGRO,9,-1.0,Q2
1970,2,SALTA,8,-1.0,Q2
1970,2,SAN JUAN,5,0.0,Q2
1970,2,SAN LUIS,5,-3.0,Q2
1970,2,SANTA CRUZ,5,0.0,Q2
1970,2,SANTA FE,11,-1.0,Q2
1970,2,SANTIAGO DEL ESTERO,5,0.0,Q2
1970,2,TIERRA DEL FUEGO,5,0.0,Q2
1970,2,TUCUMÁN,13,-2.0,Q2
1970,1,BUENOS AIRES,14,0.0,Q1
1970,1,CABA,17,-1.0,Q1
1970,1,CATAMARCA,8,1.0,Q1
1970,1,CHACO,12,0.0,Q1
1970,1,CHUBUT,5,0.0,Q1
1970,1,CÓRDOBA,12,-1.0,Q1
1970,1,CORRIENTES,11,1.0,Q1
1970,1,ENTRE RÍOS,9,-1.0,Q1
1970,1,FORMOSA,11,3.0,Q1
1970,1,JUJUY,6,0.0,Q1
1970,1,LA PAMPA,3,-1.0,Q1
1970,1,LA RIOJA,5,0.0,Q1
1970,1,MENDOZA,5,0.0,Q1
1970,1,MISIONES,12,1.0,Q1
1970,1,NEUQUÉN,11,-2.0,Q1
1970,1,RÍO NEGRO,8,-1.0,Q1
1970,1,SALTA,9,1.0,Q1
1970,1,SAN JUAN,5,0.0,Q1
1970,1,SAN LUIS,5,0.0,Q1
1970,1,SANTA CRUZ,5,0.0,Q1
1970,1,SANTA FE,11,0.0,Q1
1970,1,SANTIAGO DEL ESTERO,6,1.0,Q1
1970,1,TIERRA DEL FUEGO,5,0.0,Q1
1970,1,TUCUMÁN,9,-4.0,Q1
1970,4,BUENOS AIRES,12,-2.0,Q4
1970,4,CABA,15,-2.0,Q4
1970,4,CATAMARCA,7,-1.0,Q4
1970,4,CHACO,11,-1.0,Q4
1970,4,CHUBUT,5,0.0,Q4
1970,4,CÓRDOBA,11,-1.0,Q4
1970,4,CORRIENTES,10,-1.0,Q4
1970,4,ENTRE RÍOS,9,0.0,Q4
1970,4,FORMOSA,10,-1.0,Q4
1970,4,JUJUY,6,0.0,Q4
1970,4,LA PAMPA,3,0.0,Q4
1970,4,LA RIOJA,5,0.0,Q4
1970,4,MENDOZA,5,0.0,Q4
1970,4,MISIONES,11,-1.0,Q4
1970,4,NEUQUÉN,10,-1.0,Q4
1970,4,RÍO NEGRO,8,0.0,Q4
1970,4,SALTA,8,-1.0,Q4
1970,4,SAN JUAN,5,0.0,Q4
1970,4,SAN LUIS,5,0.0,Q4
1970,4,SANTA CRUZ,5,0.0,Q4
