país,Provincia,Partido,Localidad,link Indec,Velocidad (Mbps),Accesos,Provincia_encoded,Partido_encoded,Localidad_encoded
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,5.0,2.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,6.0,1.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,8.0,3.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,10.0,156.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,25.0,2.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,30.0,1381.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,50.0,166.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,60.0,58.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,75.0,6.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,100.0,1250.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,150.0,1310.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,300.0,3416.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,500.0,429.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,1000.0,447.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,0.0,1.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,0.5,1.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,0.75,3.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,3.0,3.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,3.5,21.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,5.0,8.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,6.0,1.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,8.0,4.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,10.0,231.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,15.0,5.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,30.0,7428.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,50.0,198.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,60.0,88.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,75.0,7.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,100.0,1226.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,150.0,2212.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,300.0,3887.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,500.0,569.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Longchamps,6028010,1000.0,512.0,0,11,1485
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,0.0,1.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,1.0,3.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,5.0,3.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,6.0,1.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,10.0,47.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,20.0,2.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,30.0,4.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,50.0,69.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,60.0,37.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,75.0,3.0,0,11,1589
Argentina,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,100.0,424.0,0,11,1589
