Tecnologia,Localidad,Accesos
ADSL,La Calera,961.0
ADSL,La Carlota,576.0
ADSL,La Carolina,4.0
ADSL,La Cesira,395.0
ADSL,La Cocha,217.0
ADSL,La Consulta,131.0
ADSL,La Criolla (Est. Cañadita),246.0
ADSL,La Cruz,231.0
ADSL,La Cumbre,278.0
ADSL,La Escondida,32.0
ADSL,La Falda,829.0
ADSL,La Francia,158.0
ADSL,La Granja,382.0
ADSL,La Higuera,6.0
ADSL,La Invernada,1.0
ADSL,La Laguna,524.0
ADSL,La Leonesa,354.0
ADSL,La Loma,75.0
ADSL,La Lonja,3210.0
ADSL,La Lucila,70.0
ADSL,La Merced,60.0
ADSL,La Paisanita,31.0
ADSL,La Paquita,220.0
ADSL,La Paz,1063.0
ADSL,La Picada,6.0
ADSL,La Plata,7282.0
ADSL,La Playosa,650.0
ADSL,La Quiaca,660.0
ADSL,La Reducción,264.0
ADSL,La Reja,4.0
ADSL,La Rica,39.0
ADSL,La Rioja,1765.0
ADSL,La Silleta,84.0
ADSL,La Tablada,36.0
ADSL,La Toma,100.0
ADSL,La Tordilla,435.0
ADSL,La Trinidad,1.0
ADSL,La Verde,10.0
ADSL,La Violeta,346.0
ADSL,Laborde,99.0
ADSL,Labordeboy,217.0
ADSL,Laboulaye,437.0
ADSL,Lago Puelo,267.0
ADSL,Laguna Alsina  (Est. Bonifacio),124.0
ADSL,Laguna Blanca,22.0
ADSL,Laguna Larga,490.0
ADSL,Laguna Naick-Neck,96.0
ADSL,Laguna Paiva,367.0
ADSL,Landeta,198.0
ADSL,Lanús Este,239.0
ADSL,Lapachito,1.0
ADSL,Larroque,161.0
ADSL,Las Acequias,422.0
ADSL,Las Albahacas,9.0
ADSL,Las Armas,90.0
ADSL,Las Arrias,6.0
ADSL,Las Breñas,682.0
ADSL,Las Compuertas,235.0
ADSL,Las Flores,1411.0
ADSL,Las Garzas,73.0
ADSL,Las Grutas,243.0
ADSL,Las Heras,70.0
ADSL,Las Higueras,60.0
ADSL,Las Junturas,30.0
ADSL,Las Lomitas,412.0
ADSL,Las Mojarras,47.0
ADSL,Las Parejas,200.0
ADSL,Las Perdices,760.0
ADSL,Las Peñas,23.0
ADSL,Las Rosas,927.0
ADSL,Las Toninas,365.0
ADSL,Las Toscas,785.0
ADSL,Las Tunas,3.0
ADSL,Las Varillas,223.0
ADSL,Las Vertientes,29.0
ADSL,Lavalle,1.0
ADSL,Leandro N. Alem,393.0
ADSL,Lehmann,149.0
ADSL,Leones,186.0
ADSL,Libertad,326.0
ADSL,Libertador General San Martín (Est. Ledesma),60.0
ADSL,Lima,1.0
ADSL,Lincoln,703.0
ADSL,Llambi Campbell,111.0
ADSL,Llavallol,21.0
ADSL,Lobería,634.0
ADSL,Lobos,587.0
ADSL,Logroño,1.0
ADSL,Loma Alta,15.0
ADSL,Loma Hermosa,286.0
ADSL,Lomas De Zamora,290.0
ADSL,Lomas Del Mirador,51.0
ADSL,Longchamps,16.0
ADSL,Loro Huasi,107.0
ADSL,Los Alisos,1.0
ADSL,Los Barriales,545.0
ADSL,Los Cardos,60.0
ADSL,Los Chañaritos,5.0
ADSL,Los Cocos,206.0
ADSL,Los Corralitos,22.0
ADSL,Los Cóndores,423.0
ADSL,Los Hornillos,165.0
ADSL,Los Molinos,13.0
ADSL,Los Polvorines,129.0
ADSL,Los Reartes,23.0
ADSL,Los Sarmientos,32.0
ADSL,Los Soria,1.0
ADSL,Los Surgentes,599.0
ADSL,Los Toldos,214.0
ADSL,Los Troncos Del Talar,145.0
ADSL,Lucas González,300.0
ADSL,Lucila Del Mar,101.0
ADSL,Luis Guillón,3.0
ADSL,Luján,1681.0
ADSL,Luján de Cuyo,967.0
ADSL,Lules,546.0
ADSL,Luque,15.0
ADSL,López (Est. San Martín de Tours),13.0
ADSL,Machagai,192.0
ADSL,Maciel,373.0
ADSL,Magdalena,604.0
ADSL,Maggiolo,78.0
ADSL,Maipú,720.0
ADSL,Makallé,26.0
ADSL,Malabrigo,602.0
ADSL,Malagueño,31.0
ADSL,Malbrán,9.0
ADSL,Malvinas Argentinas,344.0
ADSL,Manfredi,36.0
ADSL,Manuel B. Gonnet  (Est. French),193.0
ADSL,Manuel García Fernández,25.0
ADSL,Manuel J. Cobo  (Est. Lezama),98.0
ADSL,Maquinchao,228.0
ADSL,Maquinista F. Savio (este),154.0
ADSL,Mar de Ajó - San Bernardo,1349.0
ADSL,Mar de Cobo,158.0
ADSL,Mar del Plata,9489.0
ADSL,Marcelino Escalada,87.0
ADSL,Marcos Juárez,63.0
ADSL,Marcos Paz,1031.0
ADSL,Margarita Belén,191.0
ADSL,Mariano Acosta,1818.0
ADSL,Mariano Moreno,16.0
ADSL,Martín Coronado,32.0
ADSL,Martínez,728.0
ADSL,María Ignacia  (Est. Vela),268.0
ADSL,María Juana,561.0
ADSL,María Susana,341.0
ADSL,María Teresa,10.0
ADSL,Matheu,668.0
ADSL,Matilde,85.0
ADSL,Mechita,285.0
ADSL,Mechita (Est. Mecha),10.0
ADSL,Mechongué,256.0
ADSL,Mendiolaza,696.0
ADSL,Mendoza,3493.0
ADSL,Mercedes,1951.0
ADSL,Merlo,902.0
ADSL,Mina Clavero,1268.0
ADSL,Ministro Rivadavia,3.0
ADSL,Miramar,4318.0
ADSL,Mocoretá,14.0
ADSL,Moisés Ville,86.0
ADSL,Monte Buey,1563.0
ADSL,Monte Caseros,1023.0
ADSL,Monte Chingolo,9.0
ADSL,Monte Grande,60.0
ADSL,Monte Hermoso,6.0
ADSL,Monte Maíz,658.0
ADSL,Monte Vera,181.0
ADSL,Montecarlo,747.0
ADSL,Montecristo,217.0
ADSL,Monteros,484.0
ADSL,Montes de Oca,585.0
ADSL,Moquehue,2.0
ADSL,Moreno,78.0
ADSL,Moron,522.0
ADSL,Morrison,757.0
ADSL,Morteros,125.0
ADSL,Munro,157.0
ADSL,Muñiz,52.0
ADSL,Máximo Paz (Est. Paz),109.0
ADSL,Médanos,461.0
ADSL,Navarro,304.0
ADSL,Necochea - Quequén,2444.0
ADSL,Nelson,256.0
ADSL,Neuquén,3844.0
ADSL,Nicanor Olivera  (Est. La Dulce),1.0
ADSL,Nogoyá,661.0
ADSL,Nono,135.0
ADSL,Nonogasta,45.0
ADSL,Nueva Francia,1.0
ADSL,Nuevo Torino,78.0
ADSL,O'Higgins,260.0
ADSL,OTROS,16.0
ADSL,Oberá,1523.0
ADSL,Olavarría,2675.0
ADSL,Oliva,1113.0
ADSL,Oliveros,2000.0
ADSL,Olivos,528.0
ADSL,Oncativo,2337.0
ADSL,Open Door  (Est. Dr. Domingo Cabred),190.0
ADSL,Ordóñez,229.0
ADSL,Oro Verde,256.0
ADSL,Pablo Podestá,1231.0
ADSL,Palacios,2.0
ADSL,Palpalá (Est. Gral. Manuel N. Savio),1931.0
ADSL,Pampa Blanca,52.0
ADSL,Parada Robles - Pavón,1140.0
ADSL,Paraná,2302.0
ADSL,Paso Viejo,63.0
ADSL,Paso de los Libres,1494.0
ADSL,Patay,1.0
ADSL,Patquía,14.0
ADSL,Patricios,81.0
