Año,Trimestre,Provincia,Mbps (Media de bajada)
2021,2021Q4,Salta,33.9406397449852
2021,2021Q4,San Juan,11.0527493081578
2021,2021Q4,San Luis,20.9097244480146
2021,2021Q4,Santa Cruz,8.99065098447755
2021,2021Q4,Santa Fe,36.0240238372751
2021,2021Q4,Santiago Del Estero,13.8408868495151
2021,2021Q4,Tierra Del Fuego,10.6967049440505
2021,2021Q4,Tucumán,45.1481224333995
2021,2021Q3,Buenos Aires,56.2575509246959
2021,2021Q3,Capital Federal,77.7120710690731
2021,2021Q3,Catamarca,43.4333359976317
2021,2021Q3,Chaco,39.1131358092076
2021,2021Q3,Chubut,8.1768603631366
2021,2021Q3,Córdoba,41.927787245662
2021,2021Q3,Corrientes,32.1689008278583
2021,2021Q3,Entre Ríos,29.6012318794928
2021,2021Q3,Formosa,26.6894267849467
2021,2021Q3,Jujuy,25.9807025202975
2021,2021Q3,La Pampa,12.9916150724036
2021,2021Q3,La Rioja,38.8679518544504
2021,2021Q3,Mendoza,13.3651561731845
2021,2021Q3,Misiones,30.878718314265
2021,2021Q3,Neuquén,38.3422231542874
2021,2021Q3,Río Negro,25.4000651971487
2021,2021Q3,Salta,31.2096818570388
2021,2021Q3,San Juan,7.04130082039497
2021,2021Q3,San Luis,21.6987070711638
2021,2021Q3,Santa Cruz,7.69232694181298
2021,2021Q3,Santa Fe,33.1322962473813
2021,2021Q3,Santiago Del Estero,13.3527235335196
2021,2021Q3,Tierra Del Fuego,9.52
2021,2021Q3,Tucumán,42.1011853057148
2021,2021Q2,Buenos Aires,52.7554293700371
2021,2021Q2,Capital Federal,72.7467500323148
2021,2021Q2,Catamarca,42.1850637677911
2021,2021Q2,Chaco,37.3969095962221
2021,2021Q2,Chubut,7.67690621713348
2021,2021Q2,Córdoba,39.5901164899479
2021,2021Q2,Corrientes,30.3680548020057
2021,2021Q2,Entre Ríos,27.6189730620356
2021,2021Q2,Formosa,23.9663045280676
2021,2021Q2,Jujuy,25.8124778568622
2021,2021Q2,La Pampa,12.2792237380482
2021,2021Q2,La Rioja,38.5348943830077
2021,2021Q2,Mendoza,13.465987205003
2021,2021Q2,Misiones,28.6822217353969
2021,2021Q2,Neuquén,36.1097214584669
2021,2021Q2,Río Negro,23.7484466814427
2021,2021Q2,Salta,29.2393542207424
2021,2021Q2,San Juan,6.99316260162602
2021,2021Q2,San Luis,21.6618899896392
2021,2021Q2,Santa Cruz,7.6296670052024
2021,2021Q2,Santa Fe,30.7018831645519
2021,2021Q2,Santiago Del Estero,12.7187978386833
2021,2021Q2,Tierra Del Fuego,8.59192142648348
2021,2021Q2,Tucumán,40.3099203285136
2021,2021Q1,Buenos Aires,50.7856560850651
2021,2021Q1,Capital Federal,68.290268867969
2021,2021Q1,Catamarca,39.9665262396528
2021,2021Q1,Chaco,33.6262012999863
2021,2021Q1,Chubut,7.5315274091442
2021,2021Q1,Córdoba,36.1687993284376
2021,2021Q1,Corrientes,25.9851713597201
2021,2021Q1,Entre Ríos,23.8713343731836
2021,2021Q1,Formosa,20.9803275069752
2021,2021Q1,Jujuy,26.777362312404
2021,2021Q1,La Pampa,10.7285119295318
2021,2021Q1,La Rioja,12.6975547321819
2021,2021Q1,Mendoza,12.5993612452542
2021,2021Q1,Misiones,25.0768261260814
2021,2021Q1,Neuquén,34.2385026475364
2021,2021Q1,Río Negro,21.923906760831
2021,2021Q1,Salta,27.3188406940498
2021,2021Q1,San Juan,6.91008999538207
2021,2021Q1,San Luis,21.5943798047108
2021,2021Q1,Santa Cruz,7.50153184753176
2021,2021Q1,Santa Fe,28.1306300731529
2021,2021Q1,Santiago Del Estero,11.5841745164981
2021,2021Q1,Tierra Del Fuego,8.7347523962779
2021,2021Q1,Tucumán,37.9796195819083
2020,2020Q4,Buenos Aires,50.0083808396358
2020,2020Q4,Capital Federal,67.3251367687937
2020,2020Q4,Catamarca,37.6500877273544
