Provincia,Partido,Localidad,Link Indec,Velocidad (Mbps),Accesos
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,100.0,1250.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,150.0,1310.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,300.0,3416.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,500.0,429.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,1000.0,447.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,0.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,0.5,1.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,0.75,3.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,3.0,3.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,3.5,21.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,5.0,8.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,6.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,8.0,4.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,10.0,231.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,15.0,5.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,30.0,7428.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,50.0,198.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,60.0,88.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,75.0,7.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,100.0,1226.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,150.0,2212.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,300.0,3887.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,500.0,569.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,6028010,1000.0,512.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,0.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,1.0,3.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,5.0,3.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,6.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,10.0,47.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,20.0,2.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,30.0,4.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,50.0,69.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,60.0,37.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,75.0,3.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,100.0,424.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,150.0,1066.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,300.0,2191.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,500.0,331.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,6028010,1000.0,331.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,3.5,2.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,5.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,10.0,96.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,30.0,4093.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,50.0,18.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,60.0,47.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,75.0,4.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,100.0,124.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,150.0,1024.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,300.0,1716.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,500.0,282.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,6028010,1000.0,234.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,6028010,0.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,6028010,0.5,3.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,6028010,0.75,10.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,6028010,1.0,28.0
