Provincia,Partido,Localidad,Tecnologia,Link Indec,Accesos
BUENOS AIRES,AMBA,OTROS,WIRELESS,Sin Datos,13.0
BUENOS AIRES,ARRECIFES,ARRECIFES,ADSL,6077010,773.0
BUENOS AIRES,ARRECIFES,ARRECIFES,CABLEMODEM,6077010,1294.0
BUENOS AIRES,ARRECIFES,ARRECIFES,DIAL UP,6077010,12.0
BUENOS AIRES,ARRECIFES,ARRECIFES,FIBRA OPTICA,6077010,6902.0
BUENOS AIRES,ARRECIFES,ARRECIFES,SATELITAL,6077010,1.0
BUENOS AIRES,ARRECIFES,ARRECIFES,WIRELESS,6077010,1325.0
BUENOS AIRES,ARRECIFES,TODD,FIBRA OPTICA,6077020,341.0
BUENOS AIRES,ARRECIFES,VIÑA,ADSL,6077030,50.0
BUENOS AIRES,ARRECIFES,VIÑA,WIRELESS,6077030,30.0
BUENOS AIRES,AVELLANEDA,AVELLANEDA,ADSL,6035010,903.0
BUENOS AIRES,AVELLANEDA,AVELLANEDA,CABLEMODEM,6035010,8387.0
BUENOS AIRES,AVELLANEDA,AVELLANEDA,DIAL UP,6035010,46.0
BUENOS AIRES,AVELLANEDA,AVELLANEDA,FIBRA OPTICA,6035010,7576.0
BUENOS AIRES,AVELLANEDA,AVELLANEDA,Otros,6035010,72.0
BUENOS AIRES,AVELLANEDA,AVELLANEDA,SATELITAL,6035010,8.0
BUENOS AIRES,AVELLANEDA,AVELLANEDA,WIRELESS,6035010,79.0
BUENOS AIRES,AVELLANEDA,CRUCESITA,ADSL,6035010,1.0
BUENOS AIRES,AVELLANEDA,CRUCESITA,CABLEMODEM,6035010,4728.0
BUENOS AIRES,AVELLANEDA,CRUCESITA,FIBRA OPTICA,6035010,3160.0
BUENOS AIRES,AVELLANEDA,CRUCESITA,Otros,6035010,2.0
BUENOS AIRES,AVELLANEDA,DOCK SUD,ADSL,6035010,11.0
BUENOS AIRES,AVELLANEDA,DOCK SUD,CABLEMODEM,6035010,606.0
BUENOS AIRES,AVELLANEDA,DOCK SUD,FIBRA OPTICA,6035010,1898.0
BUENOS AIRES,AVELLANEDA,DOCK SUD,Otros,6035010,12.0
BUENOS AIRES,AVELLANEDA,DOCK SUD,WIRELESS,6035010,26.0
BUENOS AIRES,AVELLANEDA,GERLI,ADSL,6035010,3.0
BUENOS AIRES,AVELLANEDA,GERLI,CABLEMODEM,6035010,5553.0
BUENOS AIRES,AVELLANEDA,GERLI,FIBRA OPTICA,6035010,4977.0
BUENOS AIRES,AVELLANEDA,PINEYRO,ADSL,6035010,9.0
BUENOS AIRES,AVELLANEDA,PINEYRO,CABLEMODEM,6035010,5475.0
BUENOS AIRES,AVELLANEDA,PINEYRO,DIAL UP,6035010,1.0
BUENOS AIRES,AVELLANEDA,PINEYRO,FIBRA OPTICA,6035010,2758.0
BUENOS AIRES,AVELLANEDA,SARANDÍ,ADSL,6035010,703.0
BUENOS AIRES,AVELLANEDA,SARANDÍ,CABLEMODEM,6035010,9148.0
BUENOS AIRES,AVELLANEDA,SARANDÍ,DIAL UP,6035010,60.0
BUENOS AIRES,AVELLANEDA,SARANDÍ,FIBRA OPTICA,6035010,13979.0
BUENOS AIRES,AVELLANEDA,SARANDÍ,Otros,6035010,4.0
BUENOS AIRES,AVELLANEDA,SARANDÍ,SATELITAL,6035010,1.0
BUENOS AIRES,AVELLANEDA,SARANDÍ,WIRELESS,6035010,1.0
BUENOS AIRES,AVELLANEDA,VILLA DOMÍNICO,ADSL,6035010,15.0
BUENOS AIRES,AVELLANEDA,VILLA DOMÍNICO,CABLEMODEM,6035010,8086.0
BUENOS AIRES,AVELLANEDA,VILLA DOMÍNICO,DIAL UP,6035010,2.0
BUENOS AIRES,AVELLANEDA,VILLA DOMÍNICO,FIBRA OPTICA,6035010,7644.0
BUENOS AIRES,AVELLANEDA,VILLA DOMÍNICO,Otros,6035010,11.0
BUENOS AIRES,AVELLANEDA,VILLA DOMÍNICO,WIRELESS,6035010,600.0
BUENOS AIRES,AVELLANEDA,WILDE,ADSL,6035010,329.0
BUENOS AIRES,AVELLANEDA,WILDE,CABLEMODEM,6035010,11682.0
BUENOS AIRES,AVELLANEDA,WILDE,DIAL UP,6035010,62.0
BUENOS AIRES,AVELLANEDA,WILDE,FIBRA OPTICA,6035010,16887.0
BUENOS AIRES,AVELLANEDA,WILDE,Otros,6035010,8.0
BUENOS AIRES,AVELLANEDA,WILDE,WIRELESS,6035010,101.0
BUENOS AIRES,AYACUCHO,AYACUCHO,ADSL,6042010,1834.0
BUENOS AIRES,AYACUCHO,AYACUCHO,DIAL UP,6042010,2.0
BUENOS AIRES,AYACUCHO,AYACUCHO,WIRELESS,6042010,142.0
BUENOS AIRES,AYACUCHO,LA CONSTANCIA,WIRELESS,6042020,10.0
BUENOS AIRES,AYACUCHO,SOLANET,WIRELESS,6042030,27.0
BUENOS AIRES,AYACUCHO,UDAQUIOLA,SATELITAL,6042040,1.0
BUENOS AIRES,AYACUCHO,UDAQUIOLA,WIRELESS,6042040,46.0
BUENOS AIRES,AZUL,AZUL,ADSL,6049020,1692.0
BUENOS AIRES,AZUL,AZUL,CABLEMODEM,6049020,15053.0
BUENOS AIRES,AZUL,AZUL,DIAL UP,6049020,48.0
BUENOS AIRES,AZUL,AZUL,FIBRA OPTICA,6049020,79.0
BUENOS AIRES,AZUL,AZUL,Otros,6049020,14.0
BUENOS AIRES,AZUL,AZUL,SATELITAL,6049020,2.0
BUENOS AIRES,AZUL,AZUL,WIRELESS,6049020,1145.0
BUENOS AIRES,AZUL,CACHARÍ,DIAL UP,6049030,2.0
BUENOS AIRES,AZUL,CACHARÍ,WIRELESS,6049030,521.0
BUENOS AIRES,AZUL,CHILLAR,SATELITAL,6049040,1.0
BUENOS AIRES,AZUL,CHILLAR,WIRELESS,6049040,565.0
BUENOS AIRES,BAHÍA BLANCA,BAHÍA BLANCA,ADSL,6056010,3774.0
BUENOS AIRES,BAHÍA BLANCA,BAHÍA BLANCA,CABLEMODEM,6056010,103297.0
BUENOS AIRES,BAHÍA BLANCA,BAHÍA BLANCA,DIAL UP,6056010,388.0
BUENOS AIRES,BAHÍA BLANCA,BAHÍA BLANCA,FIBRA OPTICA,6056010,15511.0
BUENOS AIRES,BAHÍA BLANCA,BAHÍA BLANCA,Otros,6056010,64.0
BUENOS AIRES,BAHÍA BLANCA,BAHÍA BLANCA,SATELITAL,6056010,8.0
BUENOS AIRES,BAHÍA BLANCA,BAHÍA BLANCA,WIRELESS,6056010,2764.0
BUENOS AIRES,BAHÍA BLANCA,CABILDO,CABLEMODEM,6056020,193.0
BUENOS AIRES,BAHÍA BLANCA,CABILDO,DIAL UP,6056020,4.0
BUENOS AIRES,BAHÍA BLANCA,CABILDO,FIBRA OPTICA,6056020,210.0
BUENOS AIRES,BAHÍA BLANCA,CABILDO,Otros,6056020,2.0
BUENOS AIRES,BAHÍA BLANCA,CABILDO,WIRELESS,6056020,66.0
BUENOS AIRES,BAHÍA BLANCA,GENERAL DANIEL CERRI  (EST. GENERAL CERRI),ADSL,6056030,320.0
BUENOS AIRES,BAHÍA BLANCA,GENERAL DANIEL CERRI  (EST. GENERAL CERRI),CABLEMODEM,6056030,1678.0
BUENOS AIRES,BAHÍA BLANCA,GENERAL DANIEL CERRI  (EST. GENERAL CERRI),DIAL UP,6056030,1.0
BUENOS AIRES,BAHÍA BLANCA,GENERAL DANIEL CERRI  (EST. GENERAL CERRI),FIBRA OPTICA,6056030,2.0
BUENOS AIRES,BAHÍA BLANCA,GENERAL DANIEL CERRI  (EST. GENERAL CERRI),WIRELESS,6056030,15.0
BUENOS AIRES,BAHÍA BLANCA,INGENIERO WHITE,FIBRA OPTICA,6056020,1.0
BUENOS AIRES,BAHÍA BLANCA,INGENIERO WHITE,SATELITAL,6056020,3.0
BUENOS AIRES,BALCARCE,BALCARCE,ADSL,6063010,1347.0
BUENOS AIRES,BALCARCE,BALCARCE,CABLEMODEM,6063010,11898.0
BUENOS AIRES,BALCARCE,BALCARCE,DIAL UP,6063010,36.0
BUENOS AIRES,BALCARCE,BALCARCE,FIBRA OPTICA,6063010,45.0
BUENOS AIRES,BALCARCE,BALCARCE,Otros,6063010,9.0
BUENOS AIRES,BALCARCE,BALCARCE,WIRELESS,6063010,883.0
BUENOS AIRES,BALCARCE,LOS PINOS,Otros,6063020,9.0
BUENOS AIRES,BALCARCE,LOS PINOS,WIRELESS,6063020,30.0
BUENOS AIRES,BALCARCE,NAPALEOFÚ,FIBRA OPTICA,6063030,15.0
BUENOS AIRES,BALCARCE,NAPALEOFÚ,WIRELESS,6063030,107.0
BUENOS AIRES,BALCARCE,RAMOS OTERO,WIRELESS,6063040,8.0
BUENOS AIRES,BALCARCE,SAN AGUSTÍN,Otros,6063050,3.0
BUENOS AIRES,BALCARCE,SAN AGUSTÍN,WIRELESS,6063050,72.0
BUENOS AIRES,BALCARCE,VILLA LAGUNA LA BRAVA,WIRELESS,6063060,42.0
BUENOS AIRES,BARADERO,BARADERO,ADSL,6070010,861.0
BUENOS AIRES,BARADERO,BARADERO,CABLEMODEM,6070010,7532.0
BUENOS AIRES,BARADERO,BARADERO,FIBRA OPTICA,6070010,85.0
BUENOS AIRES,BARADERO,BARADERO,SATELITAL,6070010,2.0
BUENOS AIRES,BARADERO,BARADERO,WIRELESS,6070010,827.0
BUENOS AIRES,BARADERO,IRINEO PORTELA,FIBRA OPTICA,6070020,1.0
BUENOS AIRES,BARADERO,IRINEO PORTELA,WIRELESS,6070020,78.0
BUENOS AIRES,BARADERO,SANTA COLOMA,WIRELESS,6070030,55.0
BUENOS AIRES,BARADERO,VILLA ALSINA  (EST. ALSINA),ADSL,6070040,91.0
BUENOS AIRES,BARADERO,VILLA ALSINA  (EST. ALSINA),Otros,6070040,10.0
BUENOS AIRES,BARADERO,VILLA ALSINA  (EST. ALSINA),WIRELESS,6070040,248.0
BUENOS AIRES,BENITO JUÁREZ,BARKER,DIAL UP,6084010,1.0
BUENOS AIRES,BENITO JUÁREZ,BARKER,FIBRA OPTICA,6084010,10.0
BUENOS AIRES,BENITO JUÁREZ,BARKER,SATELITAL,6084010,2.0
BUENOS AIRES,BENITO JUÁREZ,BARKER,WIRELESS,6084010,70.0
BUENOS AIRES,BENITO JUÁREZ,BENITO JUÁREZ  (EST. JUÁREZ),ADSL,6084020,650.0
BUENOS AIRES,BENITO JUÁREZ,BENITO JUÁREZ  (EST. JUÁREZ),DIAL UP,6084020,20.0
BUENOS AIRES,BENITO JUÁREZ,BENITO JUÁREZ  (EST. JUÁREZ),FIBRA OPTICA,6084020,563.0
BUENOS AIRES,BENITO JUÁREZ,BENITO JUÁREZ  (EST. JUÁREZ),Otros,6084020,4.0
BUENOS AIRES,BENITO JUÁREZ,BENITO JUÁREZ  (EST. JUÁREZ),SATELITAL,6084020,1.0
BUENOS AIRES,BENITO JUÁREZ,BENITO JUÁREZ  (EST. JUÁREZ),WIRELESS,6084020,147.0
BUENOS AIRES,BENITO JUÁREZ,LÓPEZ,FIBRA OPTICA,6084030,4.0
BUENOS AIRES,BENITO JUÁREZ,LÓPEZ,WIRELESS,6084030,12.0
BUENOS AIRES,BENITO JUÁREZ,VILLA CACIQUE  (EST. ALFREDO FORTABAT),FIBRA OPTICA,6084050,20.0
BUENOS AIRES,BENITO JUÁREZ,VILLA CACIQUE  (EST. ALFREDO FORTABAT),SATELITAL,6084050,1.0
BUENOS AIRES,BENITO JUÁREZ,VILLA CACIQUE  (EST. ALFREDO FORTABAT),WIRELESS,6084050,100.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI,ADSL,6091010,247.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI,CABLEMODEM,6091010,15969.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI,DIAL UP,6091010,38.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI,FIBRA OPTICA,6091010,29692.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI,Otros,6091010,15.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI,SATELITAL,6091010,4.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI,WIRELESS,6091010,49.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI OESTE,ADSL,6091010,16.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI OESTE,CABLEMODEM,6091010,143.0
BUENOS AIRES,BERAZATEGUI,BERAZATEGUI OESTE,FIBRA OPTICA,6091010,15952.0
BUENOS AIRES,BERAZATEGUI,CARLOS TOMÁS SOURIGUES,ADSL,6091010,1.0
BUENOS AIRES,BERAZATEGUI,CARLOS TOMÁS SOURIGUES,CABLEMODEM,6091010,1291.0
BUENOS AIRES,BERAZATEGUI,CARLOS TOMÁS SOURIGUES,FIBRA OPTICA,6091010,2002.0
BUENOS AIRES,BERAZATEGUI,CENTRO AGRÍCOLA EL PATO,ADSL,6091010,1340.0
BUENOS AIRES,BERAZATEGUI,CENTRO AGRÍCOLA EL PATO,CABLEMODEM,6091010,2262.0
BUENOS AIRES,BERAZATEGUI,CENTRO AGRÍCOLA EL PATO,FIBRA OPTICA,6091010,672.0
BUENOS AIRES,BERAZATEGUI,CENTRO AGRÍCOLA EL PATO,WIRELESS,6091010,16.0
BUENOS AIRES,BERAZATEGUI,GUILLERMO E. HUDSON,ADSL,6091010,67.0
BUENOS AIRES,BERAZATEGUI,GUILLERMO E. HUDSON,CABLEMODEM,6091010,5749.0
BUENOS AIRES,BERAZATEGUI,GUILLERMO E. HUDSON,DIAL UP,6091010,2.0
BUENOS AIRES,BERAZATEGUI,GUILLERMO E. HUDSON,FIBRA OPTICA,6091010,10092.0
BUENOS AIRES,BERAZATEGUI,GUILLERMO E. HUDSON,Otros,6091010,1.0
BUENOS AIRES,BERAZATEGUI,JUAN MARÍA GUTIERREZ,ADSL,6091010,94.0
BUENOS AIRES,BERAZATEGUI,JUAN MARÍA GUTIERREZ,CABLEMODEM,6091010,1904.0
BUENOS AIRES,BERAZATEGUI,JUAN MARÍA GUTIERREZ,DIAL UP,6091010,2.0
BUENOS AIRES,BERAZATEGUI,JUAN MARÍA GUTIERREZ,FIBRA OPTICA,6091010,5644.0
BUENOS AIRES,BERAZATEGUI,JUAN MARÍA GUTIERREZ,WIRELESS,6091010,90.0
BUENOS AIRES,BERAZATEGUI,PEREYRA,CABLEMODEM,6091010,240.0
BUENOS AIRES,BERAZATEGUI,PEREYRA,DIAL UP,6091010,1.0
BUENOS AIRES,BERAZATEGUI,PEREYRA,FIBRA OPTICA,6091010,431.0
